ORIGIN,Baltimore,Barnesville,Boyds,Brunswick,College Park,Dickerson,Dorsey,Duffields,Frederick,Gaithersburg,Garrett Park,Germantown,Greenbelt,Harpers Ferry,Jessup,Kensington,Laurel,Laurel Park,Martinsburg,Metropolitan Grove,Monocacy,Muirkirk,Point of Rocks,Riverdale,Rockville,Savage,St. Denis,Silver Spring,Washington Grove,Washington DC
Baltimore,,10,10,12,6,10,4,13,11,9,8,9,6,13,5,8,5,5,14,9,11,5,11,6,9,5,4,8,9,7
Barnesville,10,,4,5,7,4,9,6,4,4,5,4,7,6,8,5,8,8,7,4,4,8,4,7,4,8,9,5,4,6
Boyds,10,4,,5,7,4,9,6,4,4,5,4,7,6,8,5,8,8,7,4,4,8,4,7,4,8,9,5,4,6
Brunswick,12,5,5,,9,5,11,4,,6,7,6,9,4,10,7,10,10,5,6,,10,4,9,6,10,11,7,6,8
College Park,6,7,7,9,,7,5,10,8,6,5,6,4,10,4,5,4,4,11,6,8,4,8,4,6,4,5,5,6,4
Dickerson,10,4,4,5,7,,9,6,4,4,5,4,7,6,8,5,8,8,7,4,4,8,4,7,4,8,9,5,4,6
Dorsey,4,9,9,11,5,9,,12,10,8,7,8,5,12,4,7,4,4,13,8,10,4,10,5,8,4,4,7,8,6
Duffields,13,6,6,4,10,6,12,,,7,8,7,10,4,11,8,11,11,4,7,,11,5,10,7,11,12,8,7,9
Frederick,11,4,4,,8,4,10,,,5,6,5,8,,9,6,9,9,,5,4,9,,8,5,9,10,6,5,7
Gaithersburg,9,4,4,6,6,4,8,7,5,,4,4,6,7,7,4,7,7,8,4,5,7,5,6,4,7,8,4,4,5
Garrett Park,8,5,5,7,5,5,7,8,6,4,,4,5,8,6,4,6,6,9,4,6,6,6,5,4,6,7,4,4,4
Germantown,9,4,4,6,6,4,8,7,5,4,4,,6,7,7,4,7,7,8,4,5,7,5,6,4,7,8,4,4,5
Greenbelt,6,7,7,9,4,7,5,10,8,6,5,6,,10,4,5,4,4,11,6,8,4,8,4,6,4,5,5,6,4
Harpers Ferry,13,6,6,4,10,6,12,4,,7,8,7,10,,11,8,11,11,4,7,,11,5,10,7,11,12,8,7,9
Jessup,5,8,8,10,4,8,4,11,9,7,6,7,4,11,,6,4,4,12,7,9,4,9,4,7,4,4,6,7,5
Kensington,8,5,5,7,5,5,7,8,6,4,4,4,5,8,6,,6,6,9,4,6,6,6,5,4,6,7,4,4,4
Laurel,5,8,8,10,4,8,4,11,9,7,6,7,4,11,4,6,,4,12,7,9,4,9,4,7,4,4,6,7,5
Laurel Park,5,8,8,10,4,8,4,11,9,7,6,7,4,11,4,6,4,,12,7,9,4,9,4,7,4,4,6,7,5
Martinsburg,14,7,7,5,11,7,13,4,,8,9,8,11,4,12,9,12,12,,8,,12,6,11,8,12,13,9,8,10
Metropolitan Grove,9,4,4,6,6,4,8,7,5,4,4,4,6,7,7,4,7,7,8,,5,7,5,6,4,7,8,4,4,5
Monocacy,11,4,4,,8,4,10,,4,5,6,5,8,,9,6,9,9,,5,,9,,8,5,9,10,6,5,7
Muirkirk,5,8,8,10,4,8,4,11,9,7,6,7,4,11,4,6,4,4,12,7,9,,9,4,7,4,4,6,7,5
Point of Rocks,11,4,4,4,8,4,10,5,,5,6,5,8,5,9,6,9,9,6,5,,9,,8,5,9,10,6,5,7
Riverdale,6,7,7,9,4,7,5,10,8,6,5,6,4,10,4,5,4,4,11,6,8,4,8,,6,4,5,5,6,4
Rockville,9,4,4,6,6,4,8,7,5,4,4,4,6,7,7,4,7,7,8,4,5,7,5,6,,7,8,4,4,5
Savage,5,8,8,10,4,8,4,11,9,7,6,7,4,11,4,6,4,4,12,7,9,4,9,4,7,,4,6,7,5
St. Denis,4,9,9,11,5,9,4,12,10,8,7,8,5,12,4,7,4,4,13,8,10,4,10,5,8,4,,7,8,6
Silver Spring,8,5,5,7,5,5,7,8,6,4,4,4,5,8,6,4,6,6,9,4,6,6,6,5,4,6,7,,4,4
Washington Grove,9,4,4,6,6,4,8,7,5,4,4,4,6,7,7,4,7,7,8,4,5,7,5,6,4,7,8,4,,5
Washington DC,7,6,6,8,4,6,6,9,7,5,4,5,4,9,5,4,5,5,10,5,7,5,7,4,5,5,6,4,5,
