stop_name,gtfs_id,zone_id
Alexandria,00000000000000000000000000000004,2
Backlick Road,0000000000000000000000000000000D,3
Broad Run / Airport,00000000000000000000000000000012,6
Brooke,0000000000000000000000000000000A,8
Burke Centre,0000000000000000000000000000000F,4
Crystal City,00000000000000000000000000000003,2
Franconia / Springfield,00000000000000000000000000000005,3
Fredericksburg,0000000000000000000000000000000C,9
L Enfant Plaza,00000000000000000000000000000002,1
Leeland Road,0000000000000000000000000000000B,8
Lorton,00000000000000000000000000000006,4
Manassas,00000000000000000000000000000011,6
Manassas Park,00000000000000000000000000000010,6
Quantico,00000000000000000000000000000009,6
Rippon,00000000000000000000000000000008,5
Rolling Road,0000000000000000000000000000000E,4
Union Station,00000000000000000000000000000001,1
Woodbridge,00000000000000000000000000000007,5
